Year,Capital Income Ratio,GDP growth rate,GDP (£)
1998,4.650830525,3.63723367,1230000000000.00
1999,4.964198726,2.87912387,1260000000000.00
2000,5.198405119,3.93178646,1310000000000.00
2001,5.239665168,2.27565338,1340000000000.00
2002,5.164339514,2.0039862,1370000000000.00
2003,5.172454169,3.38560576,1410000000000.00
2004,5.335076203,2.47677115,1450000000000.00
2005,5.424008075,3.21061886,1500000000000.00
2006,5.490544256,2.30972102,1530000000000.00
2007,5.619095516,2.50225533,1570000000000.00
2008,5.324084029,0.1605249,1570000000000.00
2009,5.270977311,-4.8663981,1500000000000.00
2010,5.36114382,2.35894956,1530000000000.00
2011,5.382588817,1.56878159,1550000000000.00
2012,5.469715906,1.23217846,1570000000000.00
2013,5.521583059,1.83456148,1600000000000.00
2014,5.720016192,3.18678271,1650000000000.00
2015,6.050521656,2.16076804,1690000000000.00
