Year,Capital Income Ratio (%),GDP growth rate (%),GDP (£)
01/01/1999,4.96,0.03,1.26E+12
01/01/2000,5.20,0.04,1.31E+12
01/01/2001,5.24,0.02,1.34E+12
01/01/2002,5.16,0.02,1.37E+12
01/01/2003,5.17,0.03,1.41E+12
01/01/2004,5.34,0.02,1.45E+12
01/01/2005,5.42,0.03,1.50E+12
01/01/2006,5.49,0.02,1.53E+12
01/01/2007,5.62,0.03,1.57E+12
01/01/2008,5.32,0.00,1.57E+12
01/01/2009,5.27,-0.05,1.50E+12
01/01/2010,5.36,0.02,1.53E+12
01/01/2011,5.38,0.02,1.55E+12
01/01/2012,5.47,0.01,1.57E+12
01/01/2013,5.52,0.02,1.60E+12
01/01/2014,5.72,0.03,1.65E+12
01/01/2015,6.05,0.02,1.69E+12
